CARREFOUR COMERCIO E INDUSTRIA LTDA
SAO PAULO
CNPJ: XXXX-XXXX
CUPOM FISCAL
1	00073944	CREME DE LEITE	5	6.75	33.75
2	00086268	LEITE	12	5.4	64.8
3	00098592	UVA	0.3	8.75	2.625
4	00110916	LARANJA	3.4	7.2	24.48
5	00123240	ACHOCOLATADO	2	4.44	8.88
6	00135564	QUEIJO	0.2	54.85	10.97
7	00147888	PRESUNTO	0.2	25.8	5.16
8	00160212	PAO	0.4	12.3	4.92
9	00172536	SHAMPOO	2	12.4	24.8
10	00184860	CONDICIONADOR	2	14.5	29
11	00197184	CARNE	5.3	55.8	295.74
12	00209508	FRANGO	5.4	30.45	164.43
13	00221832	PEIXE	0.5	40.77	20.385
14	00234156	DESODORANTE	2	12.3	24.6
15	00246480	SABONETE	2	3.3	6.6
TOTAL	721.14
